stock_above_100_dollar_year_end
AMGN
ATRI
BIDU
BIIB
BKNG
CACC
CHTR
COST
DHIL
DJCO
EQIX
ESGR
FCNCA
GLDI
ILMN
JAZZ
MELI
MSTR
NWLI
ORLY
REGN
ROP
WTW
BBH
IEI
SHV
VTWG
QQQM
ALLR
MNDY
